n,F/P,P/F,A/F,A/P,F/A,P/A,A/G,P/G,n_1,interest_rate
3.0,2.744,0.3644,0.2294,0.6294,4.36,1.589,0.78,1.239,3.0,40.0
4.0,3.842,0.2603,0.1408,0.5408,7.104,1.849,1.092,2.02,4.0,40.0
5.0,5.378,0.1859,0.0914,0.4914,10.946,2.035,1.358,2.764,5.0,40.0
6.0,7.53,0.1328,0.0613,0.4613,16.324,2.168,1.581,3.428,6.0,40.0
7.0,10.541,0.0949,0.0419,0.4419,23.853,2.263,1.766,3.997,7.0,40.0
8.0,14.758,0.0678,0.0291,0.4291,34.395,2.331,1.919,4.471,8.0,40.0
9.0,20.661,0.0484,0.0203,0.4203,49.153,2.379,2.042,4.858,9.0,40.0
10.0,28.925,0.0346,0.0143,0.4143,69.814,2.414,2.142,5.17,10.0,40.0
11.0,40.496,0.0247,0.0101,0.4101,98.739,2.438,2.221,5.417,11.0,40.0
12.0,56.694,0.0176,0.00718,0.4072,139.235,2.456,2.285,5.611,12.0,40.0
13.0,79.371,0.0126,0.0051,0.4051,195.929,2.469,2.334,5.762,13.0,40.0
14.0,111.12,0.009,0.00363,0.4036,275.3,2.478,2.373,5.879,14.0,40.0
15.0,155.568,0.00643,0.00259,0.4026,386.42,2.484,2.403,5.969,15.0,40.0
16.0,217.795,0.00459,0.00185,0.4018,541.988,2.489,2.426,6.038,16.0,40.0
17.0,304.913,0.00328,0.00132,0.4013,759.783,2.492,2.444,6.09,17.0,40.0
18.0,426.879,0.00234,0.00094,0.4009,1064.7,2.494,2.458,6.13,18.0,40.0
19.0,597.63,0.00167,0.00067,0.4007,1419.6,2.496,2.468,6.16,19.0,40.0
20.0,836.682,0.0012,0.00048,0.4005,2089.2,2.497,2.476,6.183,20.0,40.0
21.0,1171.4,0.00085,0.00034,0.4003,2925.9,2.498,2.482,6.2,21.0,40.0
22.0,1639.9,0.00061,0.00024,0.4002,4097.2,2.498,2.487,6.213,22.0,40.0
23.0,2295.9,0.00044,0.00017,0.4002,5737.1,2.499,2.49,6.222,23.0,40.0
24.0,3214.2,0.00031,0.00012,0.4001,8033.0,2.499,2.493,6.229,24.0,40.0
25.0,4499.9,0.00022,9e-05,0.4001,11247.2,2.499,2.494,6.235,25.0,40.0
26.0,6299.8,0.00016,6e-05,0.4001,15747.1,2.5,2.496,6.239,26.0,40.0
27.0,8819.8,0.00011,5e-05,0.4,22046.9,2.5,2.497,6.242,27.0,40.0
28.0,12347.7,8e-05,3e-05,0.4,30866.7,2.5,2.498,6.244,28.0,40.0
29.0,17286.7,6e-05,2e-05,0.4,43214.3,2.5,2.498,6.245,29.0,40.0
30.0,24201.4,4e-05,2e-05,0.4,60501.0,2.5,2.499,6.247,30.0,40.0
31.0,33882.0,3e-05,1e-05,0.4,84702.5,2.5,2.499,6.248,31.0,40.0
32.0,47434.8,2e-05,1e-05,0.4,118584.4,2.5,2.499,6.248,32.0,40.0
33.0,66408.7,2e-05,1e-05,0.4,166019.2,2.5,2.5,6.249,33.0,40.0
34.0,92972.1,1e-05,,0.4,232427.9,2.5,2.5,6.249,34.0,40.0
35.0,130161.0,1e-05,,0.4,325400.0,2.5,2.5,6.249,35.0,40.0
1.0,1.45,0.6897,1.0,1.45,1.0,0.69,0.0,0.0,1.0,45.0
2.0,2.103,0.4756,0.4082,0.8582,2.45,1.165,0.408,0.476,2.0,45.0
3.0,3.049,0.328,0.2197,0.6697,4.553,1.493,0.758,1.132,3.0,45.0
4.0,4.421,0.2262,0.1316,0.5816,7.601,1.72,1.053,1.81,4.0,45.0
5.0,6.41,0.156,0.0832,0.5332,12.022,1.876,1.298,2.434,5.0,45.0
6.0,9.294,0.1076,0.0543,0.5043,18.431,1.983,1.499,2.972,6.0,45.0
7.0,13.476,0.0742,0.0361,0.4861,27.725,2.057,1.661,3.418,7.0,45.0
8.0,19.541,0.0512,0.0243,0.4743,41.202,2.109,1.791,3.776,8.0,45.0
9.0,28.334,0.0353,0.0165,0.4665,60.743,2.144,1.893,4.058,9.0,45.0
10.0,41.085,0.0243,0.0112,0.4612,89.077,2.168,1.973,4.277,10.0,45.0
11.0,59.573,0.0168,0.00768,0.4577,130.162,2.185,2.034,4.445,11.0,45.0
12.0,86.381,0.0116,0.00527,0.4553,189.735,2.196,2.082,4.572,12.0,45.0
13.0,125.252,0.00798,0.00362,0.4536,276.115,2.204,2.118,4.668,13.0,45.0
14.0,181.615,0.00551,0.00249,0.4525,401.367,2.21,2.145,4.74,14.0,45.0
15.0,263.342,0.0038,0.00172,0.4517,582.982,2.214,2.165,4.793,15.0,45.0
16.0,381.846,0.00262,0.00118,0.4512,846.325,2.216,2.18,4.832,16.0,45.0
17.0,553.677,0.00181,0.00081,0.4508,1228.2,2.218,2.191,4.861,17.0,45.0
18.0,802.831,0.00125,0.00056,0.4506,1781.8,2.219,2.2,4.882,18.0,45.0
19.0,1164.1,0.00086,0.00039,0.4504,2584.7,2.22,2.206,4.898,19.0,45.0
